# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x00000000  0xC2629000  +
0xC2629000  0x00000200  -
0xC2629200  0x00000C00  ?
0xC2629E00  0x00000200  -
0xC262A000  0x0013E000  +
0xC2768000  0x00001000  ?
0xC2769000  0x0013E000  +
0xC28A7000  0x00001000  ?
0xC28A8000  0x5E836000  +
0x1210DE000  0x00000200  -
0x1210DE200  0x00000C00  ?
0x1210DEE00  0x00000200  -
0x1210DF000  0xA86B7000  +
0x1C9796000  0x00000200  -
0x1C9796200  0x00000C00  ?
0x1C9796E00  0x00000200  -
0x1C9797000  0x0013D000  +
0x1C98D4000  0x00001000  ?
0x1C98D5000  0x0013E000  +
0x1C9A13000  0x00001000  ?
0x1C9A14000  0x0013E000  +
0x1C9B52000  0x00001000  ?
0x1C9B53000  0xE0B43000  +
0x2AA696000  0x00000200  -
0x2AA696200  0x00000C00  ?
0x2AA696E00  0x00000200  -
0x2AA697000  0x07F28000  +
0x2B25BF000  0x00000200  -
0x2B25BF200  0x00000C00  ?
0x2B25BFE00  0x00000200  -
0x2B25C0000  0x3DF2B3000  +
0x691873000  0x00000200  -
0x691873200  0x00000C00  ?
0x691873E00  0x00000200  -
0x691874000  0x00265000  +
0x691AD9000  0x00001000  ?
0x691ADA000  0x00132000  +
0x691C0C000  0x00001000  ?
0x691C0D000  0x00132000  +
0x691D3F000  0x00001000  ?
0x691D40000  0x002A4000  +
0x691FE4000  0x00001000  ?
0x691FE5000  0x00132000  +
0x692117000  0x00000200  -
0x692117200  0x00000C00  ?
0x692117E00  0x00000200  -
0x692118000  0x00B0A000  +
0x692C22000  0x00000200  -
0x692C22200  0x00000C00  ?
0x692C22E00  0x00000200  -
0x692C23000  0x00132000  +
0x692D55000  0x00001000  ?
0x692D56000  0x00132000  +
0x692E88000  0x00001000  ?
0x692E89000  0x002A4000  +
0x69312D000  0x00001000  ?
0x69312E000  0x821CF000  +
0x7152FD000  0x00000200  -
0x7152FD200  0x00001C00  ?
0x7152FEE00  0x00000200  -
0x7152FF000  0x0012F000  +
0x71542E000  0x00005000  ?
0x715433000  0x0012E000  +
0x715561000  0x00009000  ?
0x71556A000  0x00123000  +
0x71568D000  0x00001000  ?
0x71568E000  0x00008000  +
0x715696000  0x0000A000  ?
0x7156A0000  0x0012D000  +
0x7157CD000  0x00013000  ?
0x7157E0000  0x00294000  +
0x715A74000  0x0000C000  ?
